D,-1,-1~0,0~1,1~
0.203496,0,0,1,0
0.345091,0,0,1,0
0.663487,0,0,1,0
0.024614,0,0,1,0
0.027808,0,0,1,0
0.830084,0,0,1,0
0.030163,0,0,1,0
0.852505,0,0,1,0
-0.301611,0,1,0,0
0.476599,0,0,1,0
-0.589437,0,1,0,0
0.087626,0,0,1,0
-0.482529,0,1,0,0
-0.228142,0,1,0,0
0.337187,0,0,1,0
1.240583,0,0,0,1
0.381336,0,0,1,0
-0.331694,0,1,0,0
-0.047843,0,1,0,0
0.232506,0,0,1,0
0.280419,0,0,1,0
0.251632,0,0,1,0
0.762693,0,0,1,0
0.245706,0,0,1,0
-0.230493,0,1,0,0
-0.143672,0,1,0,0
1.125962,0,0,0,1
1.578332,0,0,0,1
-0.706258,0,1,0,0
-0.237260,0,1,0,0
1.278430,0,0,0,1
-0.881141,0,1,0,0
0.497720,0,0,1,0
-0.840679,0,1,0,0
-0.564315,0,1,0,0
-2.613190,1,0,0,0
0.297920,0,0,1,0
1.160506,0,0,0,1
-0.674095,0,1,0,0
-1.190140,1,0,0,0
-0.750519,0,1,0,0
-1.152405,1,0,0,0
-2.379261,1,0,0,0
0.917281,0,0,1,0
-2.223367,1,0,0,0
-1.396830,1,0,0,0
3.982249,0,0,0,1
-2.031272,1,0,0,0
2.644433,0,0,0,1
-0.373851,0,1,0,0
1.008522,0,0,0,1
0.634857,0,0,1,0
-0.382160,0,1,0,0
1.461196,0,0,0,1
0.670507,0,0,1,0
4.825328,0,0,0,1
2.733749,0,0,0,1
0.443883,0,0,1,0
-0.855152,0,1,0,0
0.523451,0,0,1,0
-0.591524,0,1,0,0
2.047492,0,0,0,1
0.425957,0,0,1,0
1.138208,0,0,0,1
0.563688,0,0,1,0
-2.956002,1,0,0,0
2.181360,0,0,0,1
-0.318902,0,1,0,0
0.070042,0,0,1,0
0.327443,0,0,1,0
0.288690,0,0,1,0
-0.138095,0,1,0,0
-0.777056,0,1,0,0
1.225322,0,0,0,1
0.745997,0,0,1,0
0.415695,0,0,1,0
0.323888,0,0,1,0
0.941181,0,0,1,0
0.185821,0,0,1,0
0.084771,0,0,1,0
-0.681658,0,1,0,0
-2.249998,1,0,0,0
-0.891193,0,1,0,0
0.661627,0,0,1,0
-1.566810,1,0,0,0
-2.012235,1,0,0,0
0.384416,0,0,1,0
2.320610,0,0,0,1
2.390171,0,0,0,1
0.077975,0,0,1,0
1.242348,0,0,0,1
-0.254732,0,1,0,0
0.057337,0,0,1,0
-0.500148,0,1,0,0
-1.574015,1,0,0,0
-0.241013,0,1,0,0
-3.018727,1,0,0,0
0.012679,0,0,1,0
1.668724,0,0,0,1
0.178428,0,0,1,0
-0.639733,0,1,0,0
-1.707367,1,0,0,0
1.861985,0,0,0,1
-1.429326,1,0,0,0
0.890225,0,0,1,0
2.068918,0,0,0,1
-0.494177,0,1,0,0
0.280890,0,0,1,0
1.054477,0,0,0,1
-0.246865,0,1,0,0
1.716123,0,0,0,1
0.154374,0,0,1,0
-1.064917,1,0,0,0
